date,COFFEE_ARABIC,COFFEE_ROBUS,year,month
1960-01-01,0.9409,0.6968643,1960,1
1960-02-01,0.9469,0.6887074,1960,2
1960-03-01,0.9281,0.6887074,1960,3
1960-04-01,0.9303,0.6845187,1960,4
1960-05-01,0.92,0.6906915,1960,5
1960-06-01,0.9123,0.6968643,1960,6
1960-07-01,0.916,0.6906915,1960,7
1960-08-01,0.9292,0.6988484,1960,8
1960-09-01,0.9226,0.7028166,1960,9
1960-10-01,0.9237,0.7067849,1960,10
1960-11-01,0.9116,0.7089895,1960,11
1960-12-01,0.9006,0.6968643,1960,12
1961-01-01,0.9145,0.6765823,1961,1
1961-02-01,0.9167,0.6765823,1961,2
1961-03-01,0.9105,0.6684254,1961,3
1961-04-01,0.9017,0.6644572,1961,4
1961-05-01,0.8929,0.6622526,1961,5
1961-06-01,0.8891,0.6664412,1961,6
1961-07-01,0.8929,0.6684254,1961,7
1961-08-01,0.8935,0.6684254,1961,8
1961-09-01,0.8891,0.6723936,1961,9
1961-10-01,0.8852,0.6723936,1961,10
1961-11-01,0.883,0.6704095,1961,11
1961-12-01,0.8774,0.6664412,1961,12
1962-01-01,0.8774,0.6684254,1962,1
1962-02-01,0.877,0.6684254,1962,2
1962-03-01,0.8609,0.6704095,1962,3
1962-04-01,0.8466,0.6743777,1962,4
1962-05-01,0.8256,0.6723936,1962,5
1962-06-01,0.8047,0.6723936,1962,6
1962-07-01,0.8131,0.6765823,1962,7
1962-08-01,0.819,0.6845187,1962,8
1962-09-01,0.8256,0.6946597,1962,9
1962-10-01,0.8109,0.6946597,1962,10
1962-11-01,0.8124,0.6926757,1962,11
1962-12-01,0.8179,0.7169259,1962,12
1963-01-01,0.8267,0.6521116,1963,1
1963-02-01,0.8031,0.6137521,1963,2
1963-03-01,0.8109,0.6157362,1963,3
1963-04-01,0.808,0.6157362,1963,4
1963-05-01,0.797,0.6117679,1963,5
1963-06-01,0.7992,0.6117679,1963,6
1963-07-01,0.8064,0.6157362,1963,7
1963-08-01,0.8047,0.6117679,1963,8
1963-09-01,0.802,0.6238931,1963,9
1963-10-01,0.8042,0.6258772,1963,10
1963-11-01,0.8069,0.6318295,1963,11
1963-12-01,0.7998,0.6521116,1963,12
1964-01-01,0.9259,0.7008326,1964,1
1964-02-01,0.9414,0.7211145,1964,2
1964-03-01,1.0351,0.7797561,1964,3
1964-04-01,1.0042,0.8161315,1964,4
1964-05-01,1.0203,0.8284771,1964,5
1964-06-01,1.0053,0.8465545,1964,6
1964-07-01,1.0214,0.8183361,1964,7
1964-08-01,1.049,0.8183361,1964,8
1964-09-01,1.0373,0.7898972,1964,9
1964-10-01,1.0379,0.7738038,1964,10
1964-11-01,1.034,0.787913,1964,11
1964-12-01,1.0053,0.7636628,1964,12
1965-01-01,1.0119,0.6283022,1965,1
1965-02-01,1.0384,0.6371205,1965,2
1965-03-01,0.9899,0.5798017,1965,3
1965-04-01,0.9744,0.5469536,1965,4
1965-05-01,0.9612,0.4872098,1965,5
1965-06-01,0.9811,0.6130906,1965,6
1965-07-01,0.9811,0.7162645,1965,7
1965-08-01,1.0009,0.7949677,1965,8
1965-09-01,0.9987,0.7775516,1965,9
1965-10-01,1.0097,0.8073132,1965,10
