system:index,month,precip_mm,state_code,state_name,year,yyyymm,.geo
0_000300000000000000b8,1,265.94564697335886,665,Acre,1985,198501,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000000,1,40.81129876018566,666,Alagoas,1985,198501,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000b9,1,345.3386930050498,667,Amapa,1985,198501,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000ba,1,304.0982705581645,668,Amazonas,1985,198501,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000001,1,294.44643299302584,669,Bahia,1985,198501,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000002,1,185.48142520720742,670,Ceara,1985,198501,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000bb,1,353.049130072057,671,Distrito Federal,1985,198501,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000003,1,491.24372490020886,672,Espirito Santo,1985,198501,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000bc,1,486.3309042553422,673,Goias,1985,198501,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000004,1,408.4741171609855,674,Maranhao,1985,198501,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000bd,1,390.282977304303,675,Mato Grosso,1985,198501,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000be,1,184.2372024328674,676,Mato Grosso Do Sul,1985,198501,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000005,1,463.9210991811303,677,Minas Gerais,1985,198501,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000d,1,,692,Name Unknown,1985,198501,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000bf,1,370.7669869187219,678,Para,1985,198501,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000006,1,120.41977584125172,679,Paraiba,1985,198501,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000c0,1,79.23584334610607,680,Parana,1985,198501,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000007,1,158.90315563581981,681,Pernambuco,1985,198501,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000008,1,330.1919600493031,682,Piaui,1985,198501,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000009,1,398.1619319287702,683,Rio De Janeiro,1985,198501,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000a,1,105.59882552856183,684,Rio Grande Do Norte,1985,198501,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000c1,1,65.94717006860736,685,Rio Grande Do Sul,1985,198501,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000c2,1,313.02290295158366,686,Rondonia,1985,198501,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000c3,1,65.2189340938984,687,Roraima,1985,198501,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000c4,1,81.92176462646655,688,Santa Catarina,1985,198501,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000b,1,218.66689558490182,689,Sao Paulo,1985,198501,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000c,1,47.84407783073536,690,Sergipe,1985,198501,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000c5,1,457.6699985821126,691,Tocantins,1985,198501,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000b8,2,201.87139815669852,665,Acre,1985,198502,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000000,2,112.29932737092,666,Alagoas,1985,198502,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000b9,2,313.0391265709343,667,Amapa,1985,198502,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000ba,2,223.88181738665202,668,Amazonas,1985,198502,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000001,2,84.39713696806102,669,Bahia,1985,198502,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000002,2,282.46732057259203,670,Ceara,1985,198502,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000bb,2,122.61179876804036,671,Distrito Federal,1985,198502,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000003,2,93.83621612806144,672,Espirito Santo,1985,198502,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000bc,2,157.14703849719862,673,Goias,1985,198502,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000004,2,357.59797234183617,674,Maranhao,1985,198502,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000bd,2,204.45580865123702,675,Mato Grosso,1985,198502,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000be,2,168.23263004080815,676,Mato Grosso Do Sul,1985,198502,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000005,2,115.22827006917016,677,Minas Gerais,1985,198502,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000000d,2,,692,Name Unknown,1985,198502,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000bf,2,327.79870770841114,678,Para,1985,198502,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000006,2,272.46837034067073,679,Paraiba,1985,198502,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000c0,2,202.93531204528398,680,Parana,1985,198502,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000007,2,137.790433426181,681,Pernambuco,1985,198502,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000008,2,215.53844209152592,682,Piaui,1985,198502,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000009,2,206.09851881477329,683,Rio De Janeiro,1985,198502,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000000a,2,263.1003048174657,684,Rio Grande Do Norte,1985,198502,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000c1,2,144.27511507711435,685,Rio Grande Do Sul,1985,198502,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000c2,2,221.423029442241,686,Rondonia,1985,198502,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000c3,2,23.6712102446895,687,Roraima,1985,198502,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000c4,2,252.8468319095528,688,Santa Catarina,1985,198502,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000000b,2,175.54963550801585,689,Sao Paulo,1985,198502,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000000c,2,86.7646934891513,690,Sergipe,1985,198502,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000c5,2,243.69339011892149,691,Tocantins,1985,198502,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000300000000000000b8,3,262.8067191257109,665,Acre,1985,198503,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000000,3,127.42345159633231,666,Alagoas,1985,198503,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000300000000000000b9,3,323.9579407701915,667,Amapa,1985,198503,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000300000000000000ba,3,284.2871790429554,668,Amazonas,1985,198503,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000001,3,108.03927630532795,669,Bahia,1985,198503,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000002,3,342.0409366795658,670,Ceara,1985,198503,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000300000000000000bb,3,229.44467132296245,671,Distrito Federal,1985,198503,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000003,3,122.8734844767438,672,Espirito Santo,1985,198503,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000300000000000000bc,3,249.9079903120488,673,Goias,1985,198503,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000004,3,347.47728803868006,674,Maranhao,1985,198503,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000300000000000000bd,3,286.4246806989193,675,Mato Grosso,1985,198503,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000300000000000000be,3,184.9589207186304,676,Mato Grosso Do Sul,1985,198503,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000005,3,205.67855064356456,677,Minas Gerais,1985,198503,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000000d,3,,692,Name Unknown,1985,198503,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000300000000000000bf,3,335.5493805868306,678,Para,1985,198503,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000006,3,259.005216810635,679,Paraiba,1985,198503,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000300000000000000c0,3,153.57524898480747,680,Parana,1985,198503,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000007,3,214.45870778575068,681,Pernambuco,1985,198503,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000008,3,258.4924241675135,682,Piaui,1985,198503,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000009,3,233.08099295721837,683,Rio De Janeiro,1985,198503,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000000a,3,267.3576511627656,684,Rio Grande Do Norte,1985,198503,"{""type"":""MultiPoint"",""coordinates"":[]}"
