system:index,ADM0_CODE,ADM0_NAME,ADM1_CODE,ADM1_NAME,DISP_AREA,EXP1_YEAR,STATUS,STR1_YEAR,Shape_Area,Shape_Leng,lat,lon,state_code,state_name,.geo
000300000000000000b8,37,Brazil,665,Acre,NO,3000,Member State,1000,12.5582663404,21.6819084008,-9.31033818717394,-70.45655719203837,665,Acre,"{""type"":""Point"",""coordinates"":[-70.45655719203837,-9.31033818717394]}"
00000000000000000000,37,Brazil,666,Alagoas,NO,3000,Member State,1000,2.28991793935,10.741788052,-9.514498251117862,-36.622864133899434,666,Alagoas,"{""type"":""Point"",""coordinates"":[-36.622864133899434,-9.514498251117864]}"
000300000000000000b9,37,Brazil,667,Amapa,NO,3000,Member State,1000,11.4220834007,28.93933827,1.450545678977854,-51.97579969105718,667,Amapa,"{""type"":""Point"",""coordinates"":[-51.97579969105718,1.4505456789778541]}"
000300000000000000ba,37,Brazil,668,Amazonas,NO,3000,Member State,1000,128.019706574,74.0554637246,-4.186394628415952,-64.69261254089218,668,Amazonas,"{""type"":""Point"",""coordinates"":[-64.69261254089218,-4.186394628415951]}"
00000000000000000001,37,Brazil,669,Bahia,NO,3000,Member State,1000,46.8670289877,71.4929888093,-12.46479665317743,-41.73403068233783,669,Bahia,"{""type"":""Point"",""coordinates"":[-41.73403068233784,-12.46479665317743]}"
00000000000000000002,37,Brazil,670,Ceara,NO,3000,Member State,1000,12.0058034766,19.891835799,-5.086665428623884,-39.60760176450086,670,Ceara,"{""type"":""Point"",""coordinates"":[-39.60760176450086,-5.086665428623885]}"
000300000000000000bb,37,Brazil,671,Distrito Federal,NO,3000,Member State,1000,0.48939626444,3.3935182689,-15.780772420610594,-47.79677514111361,671,Distrito Federal,"{""type"":""Point"",""coordinates"":[-47.79677514111361,-15.780772420610596]}"
00000000000000000003,37,Brazil,672,Espirito Santo,NO,3000,Member State,1000,3.96074916046,17.3464341512,-19.569364874990157,-40.66781092856671,672,Espirito Santo,"{""type"":""Point"",""coordinates"":[-40.6678109285667,-19.56936487499016]}"
000300000000000000bc,37,Brazil,673,Goias,NO,3000,Member State,1000,28.7329183424,44.6746174411,-16.03409699488071,-49.609876681796706,673,Goias,"{""type"":""Point"",""coordinates"":[-49.609876681796706,-16.03409699488071]}"
00000000000000000004,37,Brazil,674,Maranhao,NO,3000,Member State,1000,26.8016634312,85.7110836229,-5.077202494762896,-45.28782553670903,674,Maranhao,"{""type"":""Point"",""coordinates"":[-45.28782553670903,-5.077202494762896]}"
000300000000000000bd,37,Brazil,675,Mato Grosso,NO,3000,Member State,1000,75.3203795785,54.2659352943,-12.940703328164298,-55.91829114598679,675,Mato Grosso,"{""type"":""Point"",""coordinates"":[-55.91829114598679,-12.940703328164298]}"
000300000000000000be,37,Brazil,676,Mato Grosso Do Sul,NO,3000,Member State,1000,30.8990218607,33.4228808871,-20.31953543494875,-54.847574329139995,676,Mato Grosso Do Sul,"{""type"":""Point"",""coordinates"":[-54.84757432914,-20.31953543494875]}"
00000000000000000005,37,Brazil,677,Minas Gerais,NO,3000,Member State,1000,50.1978402828,56.4570342582,-18.44615890517165,-44.66196791882345,677,Minas Gerais,"{""type"":""Point"",""coordinates"":[-44.66196791882345,-18.44615890517165]}"
0000000000000000000d,37,Brazil,692,Name Unknown,NO,3000,Member State,1000,3.98299383008E-6,0.0089843559456,-3.865774918616771,-33.81569192766944,692,Name Unknown,"{""type"":""Point"",""coordinates"":[-33.81569192766944,-3.865774918616772]}"
000300000000000000bf,37,Brazil,678,Para,NO,3000,Member State,1000,101.008646579,124.17417717,-3.9943795272872062,-53.091434627724624,678,Para,"{""type"":""Point"",""coordinates"":[-53.091434627724624,-3.9943795272872062]}"
00000000000000000006,37,Brazil,679,Paraiba,NO,3000,Member State,1000,4.6135201449,19.2433942509,-7.124035521031715,-36.832118355694185,679,Paraiba,"{""type"":""Point"",""coordinates"":[-36.832118355694185,-7.124035521031713]}"
000300000000000000c0,37,Brazil,680,Parana,NO,3000,Member State,1000,17.7096001006,36.5521787142,-24.632149733530845,-51.630330713316766,680,Parana,"{""type"":""Point"",""coordinates"":[-51.630330713316766,-24.632149733530845]}"
00000000000000000007,37,Brazil,681,Pernambuco,NO,3000,Member State,1000,8.08528289154,27.527598362,-8.32425836617375,-38.005804776695264,681,Pernambuco,"{""type"":""Point"",""coordinates"":[-38.005804776695264,-8.32425836617375]}"
