system:index,month,state_code,state_name,year,yyyymm,.geo
0_000300000000000000b8,1,665,Acre,1980,198001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000000,1,666,Alagoas,1980,198001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000b9,1,667,Amapa,1980,198001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000ba,1,668,Amazonas,1980,198001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000001,1,669,Bahia,1980,198001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000002,1,670,Ceara,1980,198001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000bb,1,671,Distrito Federal,1980,198001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000003,1,672,Espirito Santo,1980,198001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000bc,1,673,Goias,1980,198001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000004,1,674,Maranhao,1980,198001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000bd,1,675,Mato Grosso,1980,198001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000be,1,676,Mato Grosso Do Sul,1980,198001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000005,1,677,Minas Gerais,1980,198001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000d,1,692,Name Unknown,1980,198001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000bf,1,678,Para,1980,198001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000006,1,679,Paraiba,1980,198001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000c0,1,680,Parana,1980,198001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000007,1,681,Pernambuco,1980,198001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000008,1,682,Piaui,1980,198001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000009,1,683,Rio De Janeiro,1980,198001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000a,1,684,Rio Grande Do Norte,1980,198001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000c1,1,685,Rio Grande Do Sul,1980,198001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000c2,1,686,Rondonia,1980,198001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000c3,1,687,Roraima,1980,198001,"{""type"":""MultiPoint"",""coordinates"":[]}"
