system:index,month,precip_mm,state_code,state_name,t2m_c,year,yyyymm,.geo
0_000300000000000000b8,1,279.4094718506995,665,Acre,24.30543387117225,2001,200101,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000000,1,26.241862595623758,666,Alagoas,25.65223096590799,2001,200101,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000b9,1,412.14877981851686,667,Amapa,23.323256441810386,2001,200101,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000ba,1,330.99003299828354,668,Amazonas,24.397552112976776,2001,200101,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000001,1,47.0837502938162,669,Bahia,24.510220060062238,2001,200101,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000002,1,63.61583742761763,670,Ceara,26.805965294524448,2001,200101,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000bb,1,134.1198822305294,671,Distrito Federal,22.11325472488761,2001,200101,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000003,1,81.19908633909556,672,Espirito Santo,24.51523723919201,2001,200101,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000bc,1,170.73076430311275,673,Goias,24.185624851547107,2001,200101,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000004,1,198.6015449947537,674,Maranhao,24.666582038174948,2001,200101,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000bd,1,274.84473079456717,675,Mato Grosso,24.62462622848155,2001,200101,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000be,1,167.9627744296845,676,Mato Grosso Do Sul,26.198632165656548,2001,200101,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000005,1,124.13113053196552,677,Minas Gerais,23.480381129050894,2001,200101,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000d,1,,692,Name Unknown,,2001,200101,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000bf,1,344.96910041287975,678,Para,23.74450442769503,2001,200101,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000006,1,38.50466242129128,679,Paraiba,26.508664010585218,2001,200101,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000c0,1,202.6946783251455,680,Parana,23.344588326493387,2001,200101,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000007,1,35.81135479748661,681,Pernambuco,25.64595639454237,2001,200101,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000008,1,113.85543528128252,682,Piaui,25.480042291320192,2001,200101,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000009,1,152.37035794922448,683,Rio De Janeiro,24.63964321498318,2001,200101,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000a,1,33.35476333860298,684,Rio Grande Do Norte,27.508932759936567,2001,200101,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000c1,1,238.39413568584382,685,Rio Grande Do Sul,23.628327642112872,2001,200101,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000c2,1,307.42831919020443,686,Rondonia,24.606192002658837,2001,200101,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000c3,1,56.184554030847984,687,Roraima,25.076041303847287,2001,200101,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000c4,1,236.75580467212077,688,Santa Catarina,21.969530158302067,2001,200101,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000b,1,191.0924998365407,689,Sao Paulo,24.32701230270069,2001,200101,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000c,1,27.399811050818553,690,Sergipe,25.72910082933327,2001,200101,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000c5,1,176.3428744559583,691,Tocantins,25.069615783819934,2001,200101,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000b8,2,228.61488307945217,665,Acre,24.584748151153814,2001,200102,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000000,2,18.759937917034236,666,Alagoas,26.688228701420634,2001,200102,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000b9,2,358.05407221881234,667,Amapa,23.451251401592604,2001,200102,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000ba,2,254.49078154285624,668,Amazonas,24.784663958489528,2001,200102,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000001,2,54.78033404017735,669,Bahia,25.725901651740326,2001,200102,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000002,2,105.91385467256235,670,Ceara,26.20456581702578,2001,200102,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000bb,2,111.39045657007941,671,Distrito Federal,23.02362568275757,2001,200102,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000003,2,48.198013039965176,672,Espirito Santo,25.74939477710514,2001,200102,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000bc,2,138.0388992555675,673,Goias,24.66921462504239,2001,200102,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000004,2,246.8777862217403,674,Maranhao,24.312564409250623,2001,200102,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000bd,2,208.03421932245698,675,Mato Grosso,25.142507093978683,2001,200102,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000be,2,197.79569294109226,676,Mato Grosso Do Sul,26.228383393991102,2001,200102,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000005,2,77.07207212436131,677,Minas Gerais,24.85317801283854,2001,200102,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000000d,2,,692,Name Unknown,,2001,200102,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000bf,2,283.75421236104086,678,Para,23.98837259064506,2001,200102,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000006,2,38.86277151726821,679,Paraiba,27.175354333678595,2001,200102,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000c0,2,256.76148912752643,680,Parana,23.208673559537125,2001,200102,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000007,2,55.005809415059254,681,Pernambuco,26.23267518695118,2001,200102,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000008,2,166.4065936132406,682,Piaui,24.580673871676584,2001,200102,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000009,2,131.65547281491928,683,Rio De Janeiro,25.653815801201198,2001,200102,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000000a,2,25.75050862244121,684,Rio Grande Do Norte,27.933140528542694,2001,200102,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000c1,2,144.54347364186071,685,Rio Grande Do Sul,24.05500544637421,2001,200102,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000c2,2,283.96402141339127,686,Rondonia,24.78832005330127,2001,200102,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000c3,2,35.8255547978209,687,Roraima,26.044951672941952,2001,200102,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000c4,2,250.93571666071642,688,Santa Catarina,22.28264415785154,2001,200102,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000000b,2,193.2162183031356,689,Sao Paulo,24.592208066884357,2001,200102,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000000c,2,22.370990093945267,690,Sergipe,26.678898549367492,2001,200102,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000c5,2,206.92293572894326,691,Tocantins,24.917114532940275,2001,200102,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000300000000000000b8,3,276.9852575909636,665,Acre,24.553203784918157,2001,200103,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000000,3,67.05409343516935,666,Alagoas,26.01794707394303,2001,200103,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000300000000000000b9,3,336.07989662866095,667,Amapa,24.132396139109865,2001,200103,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000300000000000000ba,3,296.3397302413228,668,Amazonas,25.019443091422495,2001,200103,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000001,3,119.52898786827672,669,Bahia,24.750499037574453,2001,200103,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000002,3,177.38230098568687,670,Ceara,25.322876131211263,2001,200103,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000300000000000000bb,3,240.88800844056772,671,Distrito Federal,21.666690877489813,2001,200103,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000003,3,86.66943957805933,672,Espirito Santo,24.657274538486714,2001,200103,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000300000000000000bc,3,220.9061897791704,673,Goias,23.82115941866352,2001,200103,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000004,3,302.3087861767541,674,Maranhao,24.5135916519788,2001,200103,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000300000000000000bd,3,278.75135922867645,675,Mato Grosso,24.621070286007992,2001,200103,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000300000000000000be,3,150.6395144074128,676,Mato Grosso Do Sul,25.614680113885576,2001,200103,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000005,3,138.04463409390996,677,Minas Gerais,23.331321373521476,2001,200103,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000000d,3,,692,Name Unknown,,2001,200103,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000300000000000000bf,3,346.30113097647774,678,Para,24.170437736091472,2001,200103,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000006,3,201.41999540705945,679,Paraiba,25.974536167050168,2001,200103,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000300000000000000c0,3,126.18847531039266,680,Parana,22.80194886010124,2001,200103,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000007,3,149.35475965650573,681,Pernambuco,25.221956059546287,2001,200103,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000008,3,179.90029088846472,682,Piaui,24.770422684135706,2001,200103,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000009,3,161.13005956397637,683,Rio De Janeiro,24.703450728690356,2001,200103,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000000a,3,147.67716476753023,684,Rio Grande Do Norte,26.817089016473297,2001,200103,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000300000000000000c1,3,150.72162568227824,685,Rio Grande Do Sul,23.13686692225511,2001,200103,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000300000000000000c2,3,241.26140531394253,686,Rondonia,24.84797005939795,2001,200103,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000300000000000000c3,3,84.66821761883067,687,Roraima,26.355205635071876,2001,200103,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000300000000000000c4,3,157.34422009399066,688,Santa Catarina,21.572053209098403,2001,200103,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000000b,3,149.70032541993552,689,Sao Paulo,23.853265093641184,2001,200103,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000000c,3,72.96432451222684,690,Sergipe,26.213772911265576,2001,200103,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000300000000000000c5,3,284.5867035969989,691,Tocantins,24.76052221427676,2001,200103,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000300000000000000b8,4,189.99007130120106,665,Acre,24.590976922394095,2001,200104,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000000,4,60.53336119075366,666,Alagoas,25.3480210962275,2001,200104,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000300000000000000b9,4,417.8863329557804,667,Amapa,24.2010674051364,2001,200104,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000300000000000000ba,4,269.3658953832441,668,Amazonas,25.027722626012434,2001,200104,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000001,4,38.00688340055005,669,Bahia,24.651632173884366,2001,200104,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000002,4,200.8062869295614,670,Ceara,24.816274575422742,2001,200104,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000300000000000000bb,4,49.37489291328062,671,Distrito Federal,22.029359511260118,2001,200104,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000003,4,41.635123059147084,672,Espirito Santo,23.78604664441872,2001,200104,"{""type"":""MultiPoint"",""coordinates"":[]}"
