system:index,month,precip_mm,state_code,state_name,year,yyyymm,.geo
0_000300000000000000b8,1,276.08151967419224,665,Acre,2004,200401,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000000,1,171.0876819756384,666,Alagoas,2004,200401,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000b9,1,198.9828720650675,667,Amapa,2004,200401,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000ba,1,259.6649720344773,668,Amazonas,2004,200401,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000001,1,277.39776874029627,669,Bahia,2004,200401,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000002,1,353.01732922840006,670,Ceara,2004,200401,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000bb,1,371.1327907299576,671,Distrito Federal,2004,200401,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000003,1,279.16194090371914,672,Espirito Santo,2004,200401,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000bc,1,408.7964255072529,673,Goias,2004,200401,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000004,1,364.5275280210517,674,Maranhao,2004,200401,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000bd,1,385.00768370410776,675,Mato Grosso,2004,200401,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000be,1,135.20736458727941,676,Mato Grosso Do Sul,2004,200401,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000005,1,282.2386764842656,677,Minas Gerais,2004,200401,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000d,1,,692,Name Unknown,2004,200401,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000bf,1,292.3264838209414,678,Para,2004,200401,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000006,1,317.76068110485994,679,Paraiba,2004,200401,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000c0,1,123.07162294829659,680,Parana,2004,200401,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000007,1,310.8021079098501,681,Pernambuco,2004,200401,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000008,1,398.3443231056196,682,Piaui,2004,200401,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000009,1,234.79078509314832,683,Rio De Janeiro,2004,200401,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000a,1,278.012167554234,684,Rio Grande Do Norte,2004,200401,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000c1,1,75.9078948171728,685,Rio Grande Do Sul,2004,200401,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000c2,1,360.3413271449159,686,Rondonia,2004,200401,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000c3,1,52.47408002190687,687,Roraima,2004,200401,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000c4,1,126.5886983699528,688,Santa Catarina,2004,200401,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000b,1,230.06164887952218,689,Sao Paulo,2004,200401,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000c,1,179.9903278000914,690,Sergipe,2004,200401,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000c5,1,420.7614539051835,691,Tocantins,2004,200401,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000b8,2,233.53892736373493,665,Acre,2004,200402,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000000,2,80.74945480595233,666,Alagoas,2004,200402,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000b9,2,369.0437375343328,667,Amapa,2004,200402,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000ba,2,241.5588765254679,668,Amazonas,2004,200402,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000001,2,139.13507909795342,669,Bahia,2004,200402,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000002,2,218.48975074771744,670,Ceara,2004,200402,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000bb,2,399.74890791077354,671,Distrito Federal,2004,200402,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000003,2,167.202233079503,672,Espirito Santo,2004,200402,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000bc,2,353.5217728539804,673,Goias,2004,200402,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000004,2,312.64660158183096,674,Maranhao,2004,200402,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000bd,2,358.7356800944568,675,Mato Grosso,2004,200402,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000be,2,131.387775705861,676,Mato Grosso Do Sul,2004,200402,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000005,2,276.0950655899223,677,Minas Gerais,2004,200402,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000000d,2,,692,Name Unknown,2004,200402,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000bf,2,402.7675025318983,678,Para,2004,200402,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000006,2,191.6458048961954,679,Paraiba,2004,200402,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000c0,2,94.45805042989286,680,Parana,2004,200402,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000007,2,142.7532266245232,681,Pernambuco,2004,200402,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000008,2,203.53101938456123,682,Piaui,2004,200402,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000009,2,238.82631689928772,683,Rio De Janeiro,2004,200402,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000000a,2,200.71834797040964,684,Rio Grande Do Norte,2004,200402,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000c1,2,82.34323174130539,685,Rio Grande Do Sul,2004,200402,"{""type"":""MultiPoint"",""coordinates"":[]}"
