,division,prod_val,prod_share,state_name
0,Rondônia,2901625.0,0.04192737511779691,Rondonia
1,Acre,44923.0,0.0006491202248453161,Acre
2,Amazonas,8368.0,0.00012091441002394331,Amazonas
4,Pará,1871.0,2.703523675368044e-05,Para
6,Tocantins,200.0,2.889923757742431e-06,Tocantins
9,Ceará,8633.0,0.00012474355900295202,Ceara
10,Rio Grande do Norte,105.0,1.5172099728147763e-06,Rio Grande do Norte
11,Paraíba,396.0,5.722049040330013e-06,Paraiba
12,Pernambuco,13397.0,0.00019358154291237672,Pernambuco
13,Alagoas,100.0,1.4449618788712154e-06,Alagoas
15,Bahia,4022714.0,0.058126683796015426,Bahia
16,Minas Gerais,35135844.0,0.5076995516196592,Minas Gerais
17,Espírito Santo,16738331.0,0.2418625021092831,Espirito Santo
18,Rio de Janeiro,383049.0,0.005534912027397402,Rio de Janeiro
19,São Paulo,8555324.0,0.12362117041392003,Sao Paulo
20,Paraná,815788.0,0.01178782561240591,Parana
23,Mato Grosso do Sul,1607.0,2.322053739346043e-05,Mato Grosso do Sul
24,Mato Grosso,208094.0,0.003006878972218267,Mato Grosso
25,Goiás,327179.0,0.004727611825672054,Goias
26,Distrito Federal,38430.0,0.0005552988500502081,Distrito Federal
