Café - Valor da produção (2024),,
localidade,valor,unidade
Rondônia,2.901.625,Mil Reais
Acre,44.923,Mil Reais
Amazonas,8.368,Mil Reais
Roraima,-,Mil Reais
Pará,1.871,Mil Reais
Amapá,-,Mil Reais
Tocantins,200,Mil Reais
Maranhão,-,Mil Reais
Piauí,-,Mil Reais
Ceará,8.633,Mil Reais
Rio Grande do Norte,105,Mil Reais
Paraíba,396,Mil Reais
Pernambuco,13.397,Mil Reais
Alagoas,100,Mil Reais
Sergipe,-,Mil Reais
Bahia,4.022.714,Mil Reais
Minas Gerais,35.135.844,Mil Reais
Espírito Santo,16.738.331,Mil Reais
Rio de Janeiro,383.049,Mil Reais
São Paulo,8.555.324,Mil Reais
Paraná,815.788,Mil Reais
Santa Catarina,-,Mil Reais
Rio Grande do Sul,-,Mil Reais
Mato Grosso do Sul,1.607,Mil Reais
Mato Grosso,208.094,Mil Reais
Goiás,327.179,Mil Reais
Distrito Federal,38.430,Mil Reais
Fonte: PAM
,,
