,coddpto,depto,prod_share
0,5,Antioquia,0.1447198317271538
1,13,Bolívar,0.0013611412749391933
2,15,Boyacá,0.012085761203391627
3,17,Caldas,0.06865853444819614
4,18,Caquetá,0.0032461019760976362
5,19,Cauca,0.11679512174289901
6,20,Cesar,0.02566026505550749
7,23,Córdoba,0.0
8,25,Cundinamarca,0.033688381452517194
9,27,Chocó,0.00022528686412150913
10,41,Huila,0.1980168016486281
11,44,La Guajira,0.0035309345588283433
12,47,Magdalena,0.014057162663324447
13,50,Meta,0.002656313746985119
14,52,Nariño,0.04154457199330382
15,54,Norte de Santander,0.026252454356612838
16,63,Quindío,0.02175418033405929
17,66,Risaralda,0.05044416700505421
18,68,Santander,0.059981948749426035
19,70,Sucre,2.1670324845038923e-07
20,73,Tolima,0.11468000052156138
21,76,Valle del Cauca,0.05795064184349159
22,81,Arauca,7.258692010094238e-05
23,85,Casanare,0.0024095472568772076
24,86,Putumayo,0.0002080459536747962
